id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13705134094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1034;1028;1062;1005;702;696;736;707;332;332;326;298;153893853;134402114;138689303;148083827;13705134094
13705135091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;278;314;308;283;263;299;292;270;15;15;16;13;37844501;36488891;40672938;34899193;13705135091
13705136097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;23;25;27;28;4;5;6;6;19;20;21;22;222469;285694;316355;352446;13705136097
13705139096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1585;1467;1541;1785;988;909;961;1125;597;558;580;660;223152785;215834948;195451354;199561703;13705139096
13705142097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;664;639;584;606;482;464;423;422;182;175;161;184;47384459;43863787;43215803;38982469;13705142097
13705144090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;47;45;44;37;44;42;41;36;3;3;3;1;3165619;3016890;2523093;2226054;13705144090
13705145096;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;10;11;12;12;9;10;11;10;1;1;1;2;84031;100483;0;193706;13705145096
13705146092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;77;82;83;79;67;71;71;67;10;11;12;12;5434017;7386928;6800077;6154399;13705146092
13705147099;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;119;121;121;121;76;77;78;80;43;44;43;41;16883884;18248999;17640433;17504737;13705147099
13705148095;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;85;84;88;115;55;57;60;75;30;27;28;40;4973330;4754785;4344845;3896880;13705148095
